Range,Round,Beat,Place,Ha.,Place Year
Khedbrahma,Poshina SF,Poshina SF,Arts & Comars Collage HG 25-26/96,2,2025-26
Khedbrahma,Matoda SF,Radhivad,Agiya Model school H.G,1,2025-26
Bayad,Ambaliyara SF,Tenpur SF,Namo Vad Van Utarda,,2025-26
Meghraj,Rellavada SF,Rellavada SF,Medical Camp,,2025-26
Khedbrahma,Poshina SF,Poshina SF,Songadh Pavitra Upvan 25-26,,2025-26
Meghraj,Banthivada SF,Ramgadhi SF,RKVY Extsting Nur Hiratimba 2025-26,,2025-26
Meghraj,Banthivada SF,Ramgadhi SF,,,2025-26
Himatnagar,Derol SF,Mehtapura SF,Dhandha RKVY àª•àª?àª°à«çàª¯àª°àª? àª¨àª°à«çàª¸àª°à«€ 25-26,,2025-26
Himatnagar,Derol SF,Mehtapura SF,Dhandha RKVY àª?àª?àª‡àªŸà«‡àª• àª¨àª°à«çàª¸àª°à«€ 25-26,,2025-26
Himatnagar,Raygadh SF,Raygadh SF,Raygadh RKVY àª•àª?àª°à«çàª¯àª°àª? àª¨àª°à«çàª¸àª°à«€ 25-26.,,2025-26
Himatnagar,Raygadh SF,Raygadh SF,Raygadh RKVY àª¨àª?àª¨à«€ àª¨àª°à«çàª¸àª°à«€ 25-26,,2025-26
Modasa,Medhasan SF,Medhasan SF,Medhasan RKVY Nursery,,2025-26
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Shyamnagar thi Matoda HVP 25-26,1,2025-26
Khedbrahma,Khedbrahma SF,Khedbrahma SF,Khedbrahma to Antarsumba HVP 25-26,2,2025-26
Meghraj,Rellavada SF,Rellavada SF,kishan shibir,,2025-26
Vadali,Vadali SF,Vadali SF,Vadali Nursery VNM 25-26,,
Modasa,Medhasan SF,Medhasan SF,Medhasan Nursery VNM-26-27,,
Modasa,Modasa SF,Sakriya SF,Majum Nursery VNM-26-27,,
Dhansura,Shika SF,Shika SF,Alampur Nursery VNM-26-27,,
Dhansura,Vadagam SF,Vadagam SF,Navalpur Nursery VNM-26-27,,
Malpur,Jitpur SF,Jitpur SF,Lalsipur Nursery VNM-26-27,,
Malpur,Malpur SF,Mevda SF,Meditimba Nursery VNM-26-27,,
Modasa,Medhasan SF,Medhasan SF,Medhasan Nursery Dep.26-27,,
Modasa,Modasa SF,Sakriya SF,Majum Nursery Dept.-26-27,,
Malpur,Jitpur SF,Jitpur SF,Lalsipur Nursery Dep.-26-27,,
Malpur,Malpur SF,Mevda SF,Meditimba Nursery Dep.-26-27,,
Modasa,Medhasan SF,Medhasan SF,Medhasan Nursery VNM-25-26,,
Modasa,Modasa SF,Sakriya SF,Majum Nursery VNM-25-26,,
Malpur,Jitpur SF,Jitpur SF,Lalsipur Nursery VNM-25-26,,
Malpur,Malpur SF,Mevda SF,Meditimba Nursery VNM-25-26,,
Vadali,Bhavangadh SF,Bhavangadh SF,RKVY Nursery 24-25,,
Modasa,Medhasan SF,Medhasan SF,Medhasan Nursery Dept-25-26,,
Modasa,Modasa SF,Sakriya SF,Majum Nursery Dept-25-26,,
Malpur,Jitpur SF,Jitpur SF,Lalsipur Nursery Dep.-25-26,,
Malpur,Malpur SF,Mevda SF,Meditimba Nursery Dep.-25-26,,
Modasa,Medhasan SF,Medhasan SF,Medhasan Nursery LLMPIT (30*40 Beg),,
Modasa,Modasa SF,Sakriya SF,Majum Nursery (15*25 Beg),,
Bayad,Bayad SF,Bibipura SF,Bibipura VNM Nursery 26-27,,2026-27
Bayad,Bayad SF,Bibipura SF,Bibipura Dept Nursery 26-27,,2026-27
Himatnagar,Raygadh SF,Raygadh SF,Raygadh-VNM Nursery-25-26,,
Idar,Revas SF,Vasai SF,,,
Idar,Jashvantgadh SF,Jashvantgadh SF,Jashvantgadh Nursery VNM 25-26,,
Vijaynagar,Monghri SF,Abhapur SF,Abhapur Nursery VNM 25-26,,
Prantij,Prantij SF,Prantij SF,Kamalpur Nursery VNM 25-26,,
Prantij,Prantij SF,Prantij SF,Kamalpur Nursery VNM 26-27,,
Prantij,Salal SF,Salal SF,Salal Nursery VNM 25-26,,2025-26
Prantij,Salal SF,Salal SF,Salal Nursery VNM 26-27,,2026-27
Himatnagar,Derol SF,Mehtapura SF,Dhandha Nursery VNM 26-27,,2026-27
Himatnagar,Raygadh SF,Raygadh SF,Raygadh Nursery VNM 26-27,,2026-27
Prantij,Salal SF,Salal SF,Salal RKVY Nursery 24-25,,2024-25
